20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g
0.0111,0.045699999,0.0317,0.2362,0.033599999,0.0524,0.0163,0.1103,0.070299998,0.27700001,0.0232,0.0134,0.0242,0.0266,0.19050001,0.40740001,0.0029,0.0124,0.0449,0.0146,0.0097000003,0.039500002,0.024,0.025699999,0.00039999999,0.0198,0.22840001,0.0040000002,0.095100001,0.0096000005,0.0086000003,0.0093999999,0.0178,0.043900002,0.050999999,0.033300001,0.1849,0.030300001,0.0088999998
0.1069,0.083800003,0.0625,0.4623,0.0858,0.1008,0.12720001,0.2142,0.35069999,0.45379999,0.073299997,0.0436,0.075300001,0.081299998,0.3184,0.7457,0.080499999,0.044799998,0.1104,0.044799998,0.058400001,0.097000003,0.1124,0.076099999,0.0098999999,0.1305,0.48590001,0.0429,0.42539999,0.099100001,0.040800001,0.038400002,0.070699997,0.077699997,0.099600002,0.1031,0.33759999,0.068700001,0.094099998
0.15700001,0.1133,0.097800002,0.74000001,0.1304,0.13950001,0.2068,0.32859999,0.53960001,0.57700002,0.1515,0.083800003,0.1256,0.162,0.3202,1.0957,0.13420001,0.079300001,0.16230001,0.073200002,0.1032,0.1453,0.20999999,0.14399999,0.019200001,0.25060001,0.75910002,0.080200002,0.5661,0.2013,0.077,0.0647,0.12729999,0.1274,0.15099999,0.16670001,0.6311,0.1048,0.1753
0.23980001,0.1389,0.1345,0.90530002,0.1797,0.1857,0.28799999,0.4492,0.7123,0.70920002,0.2051,0.1141,0.1708,0.2333,0.4585,1.7213,0.191,0.1142,0.24330001,0.1059,0.14470001,0.2052,0.3053,0.19930001,0.0284,0.38780001,1.0296,0.1269,0.91799998,0.2809,0.1138,0.082599998,0.19410001,0.16670001,0.2058,0.2131,0.98250002,0.14820001,0.25780001
0.3161,0.1665,0.1639,1.1732,0.2297,0.22490001,0.44420001,0.55159998,0.88249999,0.8642,0.27970001,0.1426,0.2157,0.28479999,0.61229998,2.3841,0.28169999,0.1558,0.29499999,0.1372,0.1899,0.278,0.4025,0.25549999,0.0374,0.4912,1.2681,0.1727,1.1818,0.36309999,0.147,0.1057,0.24259999,0.21259999,0.25369999,0.2588,1.4129,0.1847,0.3407
0.35949999,0.1899,0.19239999,1.5042,0.28290001,0.2827,0.52990001,0.6354,1.2262,0.98839998,0.32969999,0.1737,0.2448,0.3651,0.81129998,2.5966001,0.3529,0.19140001,0.3714,0.1671,0.2387,0.34189999,0.49180001,0.31130001,0.046,0.58350003,1.4450001,0.2098,1.4477,0.46700001,0.1794,0.1259,0.28819999,0.24789999,0.31240001,0.3037,1.9319,0.22400001,0.42179999
0.40419999,0.2185,0.22059999,1.748,0.3414,0.3251,0.6279,0.7198,1.3227,1.1332999,0.38600001,0.20389999,0.27599999,0.44229999,0.95359999,2.9942,0.41859999,0.2228,0.43540001,0.1991,0.2816,0.41060001,0.54610002,0.3545,0.054200001,0.68690002,1.6353,0.25240001,1.7387,0.54689997,0.2097,0.14830001,0.3274,0.27779999,0.34689999,0.3547,10.3924,0.2877,0.4991
0.4341,0.24250001,0.25099999,1.9597,0.40580001,0.373,0.7511,0.78369999,1.5609,1.2416,0.4382,0.2331,0.3107,0.52139997,1.0279,3.4744999,0.45950001,0.25709999,0.50089997,0.23199999,0.32350001,0.46619999,0.6311,0.4086,0.062600002,0.78310001,1.86,0.30160001,1.9506,0.62470001,0.24879999,0.17030001,0.3743,0.3233,0.3865,0.40529999,12.0492,0.3206,0.57779998
0.46380001,0.2737,0.28479999,9.4053001,0.45649999,0.42559999,0.84500003,0.88260001,1.7034,1.3471,0.49759999,0.25940001,0.35980001,0.57080001,1.063,3.6824,0.53549999,0.287,0.5607,0.26640001,0.37349999,0.51550001,0.69419998,0.4601,0.070699997,0.87470001,1.8608,0.32480001,2.158,0.71619999,0.27950001,0.1927,0.42089999,0.3506,0.43720001,0.45159999,12.2327,0.3513,0.66900003
0.4932,0.30680001,0.31479999,9.8059998,0.54180002,0.47569999,0.93940002,0.98000002,2.0292001,1.5429,0.57309997,0.28659999,0.4075,0.61559999,1.1171,4.4029002,0.60320002,0.31690001,0.60769999,0.29710001,0.41960001,0.58340001,0.75889999,0.52609998,0.0788,0.95270002,2.0685999,0.34920001,2.5599999,0.81519997,0.31130001,0.2137,0.46419999,0.38159999,0.49079999,0.49869999,12.4549,0.38609999,0.7586
0.52719998,0.34540001,0.35659999,10.3956,0.59350002,0.53740001,1.0462,1.0518,2.118,1.6117001,0.62190002,0.3251,0.46470001,0.66570002,1.2798001,4.5737,0.66409999,0.34810001,0.67030001,0.3283,0.46219999,0.64539999,0.83810002,0.59500003,0.086599998,1.0326,2.4563,0.38319999,2.8529999,0.90289998,0.3409,0.2333,0.50340003,0.41240001,0.53469998,0.5424,12.6643,0.4156,0.83660001
0.55269998,0.38909999,0.39210001,12.0305,0.63859999,0.60170001,1.1447999,1.2970001,2.2214,1.6670001,0.67210001,0.35319999,0.52139997,0.74989998,1.3965,5.8965998,0.72659999,0.3827,0.70810002,0.36019999,0.49970001,0.7288,0.92510003,0.65710002,0.094099998,1.1107,2.8545001,0.42140001,3.0664001,0.98479998,0.37290001,0.25369999,0.55330002,0.43650001,0.57819998,0.59149998,12.8777,0.4488,0.90979999
