20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216h,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
0.050500002,0.0149,0.022299999,0.88349998,0.023800001,0.0286,0.0055999998,0.084399998,0.0218,0.0176,0.0024000001,0.00089999998,0.022299999,0.1259,0.30070001,0.0054000001,0.0264,0.027100001,0.0152,0.0078999996,0.061999999,0.0148,0.0082,0.0184,0.0317,0.23459999,0.034000002,0.0792,0.054400001,0.0341,0.0051000002,0.0104,0.0141,0.0038000001,0.060699999,0.211,0.019300001,0.0091000004,0.0363
0.077699997,0.044199999,0.061500002,1.1064,0.052299999,0.094499998,0.056299999,0.20370001,0.26300001,0.065099999,0.0265,0.034200002,0.1063,0.25979999,0.9368,0.0381,0.062100001,0.057300001,0.068700001,0.052700002,0.1411,0.065300003,0.0308,0.034400001,0.1318,0.46790001,0.079499997,0.1601,0.118,0.0691,0.032499999,0.048700001,0.033399999,0.057,0.1212,0.7001,0.060600001,0.081799999,0.0814
0.1172,0.076499999,0.092900001,1.5584,0.082000002,0.1243,0.1996,0.33410001,0.4659,0.075999998,0.053599998,0.07,0.1489,0.33399999,1.2776999,0.065499999,0.094599999,0.090999998,0.1267,0.1007,0.206,0.1251,0.054900002,0.051899999,0.2234,0.7245,0.1353,0.23720001,0.16869999,0.1052,0.054200001,0.087800004,0.058400001,0.1155,0.1771,1.0077,0.092,0.1552,0.1274
0.16590001,0.1245,0.124,11.4122,0.1142,0.17120001,0.29159999,0.4513,0.68940002,0.116,0.082800001,0.1064,0.2129,0.47589999,1.7457,0.1029,0.1248,0.123,0.18520001,0.13779999,0.2791,0.1806,0.079700001,0.068599999,0.32300001,0.99269998,0.18350001,0.3364,0.2325,0.14489999,0.086400002,0.12710001,0.077500001,0.1754,0.23450001,1.28,0.1331,0.2269,0.1684
0.1963,0.1556,0.1481,12.1947,0.14210001,0.21879999,0.39789999,0.58069998,0.89520001,0.1496,0.1104,0.15979999,0.26589999,0.48320001,11.0933,0.1428,0.15620001,0.1617,0.23999999,0.1768,0.34979999,0.227,0.1032,0.084100001,0.44389999,1.2427,0.2331,0.45750001,0.30109999,0.17910001,0.1252,0.1707,0.096000001,0.2235,0.32030001,1.6777,0.1983,0.30270001,0.2103
0.2471,0.1913,0.1727,12.6108,0.177,0.2658,0.48109999,0.68040001,1.0693001,0.1779,0.13500001,0.1982,0.3071,0.59759998,11.7076,0.18880001,0.18889999,0.1999,0.28549999,0.21709999,0.41839999,0.27360001,0.12819999,0.1012,0.55400002,1.5135,0.28049999,0.55320001,0.37290001,0.2158,0.1522,0.2114,0.122,0.2656,0.37239999,1.9444,0.249,0.36160001,0.25330001
0.28040001,0.2286,0.2006,12.8377,0.21089999,0.30649999,0.56709999,0.79860002,1.2747,0.2006,0.16509999,0.2413,0.3515,0.6972,11.7973,0.227,0.2173,0.23379999,0.33919999,0.2536,0.48649999,0.32049999,0.15710001,0.1173,0.66420001,1.7640001,0.3362,0.66549999,0.4483,0.25260001,0.1846,0.2485,0.1463,0.3064,0.42989999,12.2164,0.29589999,0.4271,0.30410001
0.31920001,0.26449999,0.2318,13.3743,0.24429999,0.35010001,0.64219999,0.89459997,1.5691,0.22570001,0.18619999,0.28009999,0.41589999,0.7475,11.9393,0.273,0.2467,0.2692,0.39680001,0.294,0.55739999,0.38389999,0.1787,0.13330001,0.79659998,9.3023005,0.37169999,0.78560001,0.5219,0.2881,0.2175,0.28659999,0.1682,0.3511,0.49950001,12.4911,0.3391,0.4571,0.34509999
0.345,0.29809999,0.264,13.6651,0.2748,0.39390001,0.7324,1.005,1.7599,0.26339999,0.2184,0.31420001,0.4885,0.93220001,12.0689,0.30919999,0.2764,0.3053,0.4438,0.33149999,0.63620001,0.43619999,0.2033,0.1521,0.89899999,9.9064999,0.43130001,0.87239999,0.5869,0.32570001,0.25909999,0.32409999,0.1911,0.40540001,0.56690001,12.8072,0.3748,0.4928,0.38
0.39559999,0.33250001,0.2913,13.9849,0.30720001,0.43399999,0.79170001,1.0906,2.0053999,0.2915,0.24429999,0.34439999,0.54689997,0.98089999,12.1638,0.3479,0.30540001,0.33570001,0.4955,0.37079999,0.71799999,0.48230001,0.2242,0.1708,0.9842,10.3925,0.47260001,1.0067,0.66049999,0.36430001,0.2807,0.36160001,0.213,0.46610001,0.61930001,13.0496,0.41769999,0.5636,0.4258
