20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
0.0187,0.0098000001,0.022299999,0.1832,0.0146,0.0286,0.083499998,0.042399999,0.3581,0.0539,0.0581,0.0218,0.0035000001,0.040199999,0.039099999,0.28549999,0.035100002,0.033199999,0.0029,0.0040000002,0.0048000002,0.035999998,0.0287,0.037999999,0.00060000003,0.094499998,0.1187,0.0381,0.048099998,0.0063999998,0.020099999,0.0059000002,0.0416,0.0127,0.022500001,0.0043000001,0.0638,0.0145,0.050799999,0.0038999999
0.080700003,0.047200002,0.0605,0.56569999,0.064400002,0.1027,0.1839,0.1142,0.65780002,0.31470001,0.1382,0.0557,0.054400001,0.081500001,0.1055,0.4851,0.1136,0.077600002,0.046700001,0.050700001,0.0748,0.1635,0.1127,0.088699996,0.0275,0.2244,0.3563,0.065899998,0.19410001,0.062600002,0.061500002,0.0233,0.096199997,0.0405,0.071199998,0.0594,0.4508,0.043000001,0.13600001,0.0482
0.13779999,0.1045,0.1064,0.77670002,0.11,0.1665,0.3141,0.2841,0.94919997,0.58170003,0.1812,0.0867,0.1205,0.1312,0.15790001,0.63550001,0.20029999,0.1155,0.1017,0.088399999,0.12630001,0.2622,0.1758,0.1429,0.052000001,0.34979999,0.59960002,0.1132,0.62910002,0.1201,0.1036,0.046700001,0.1401,0.085199997,0.1155,0.113,0.90869999,0.067900002,0.19410001,0.1032
0.1981,0.1479,0.152,0.9971,0.1605,0.2245,0.4957,0.37920001,1.2291,0.74680001,0.2247,0.086999997,0.1692,0.229,0.24429999,0.78659999,0.27720001,0.15180001,0.1561,0.1303,0.176,0.37,0.24609999,0.2001,0.076399997,0.5273,0.84759998,0.1462,0.89039999,0.1726,0.1435,0.068899997,0.1948,0.1174,0.16329999,0.16859999,1.2466,0.089699998,0.21610001,0.1583
0.28850001,0.17659999,0.1928,1.1961,0.2121,0.28479999,0.68290001,0.55980003,1.5844001,0.98400003,0.29300001,0.1214,0.2201,0.31830001,0.3283,1.1933,0.33829999,0.1838,0.2036,0.17219999,0.2287,0.46529999,0.31259999,0.2446,0.1038,0.61199999,1.1259,0.208,1.0462,0.22149999,0.1832,0.1086,0.2405,0.1489,0.2176,0.21950001,1.5569,0.119,0.2207,0.2094
0.34,0.2076,0.2445,1.335,0.25490001,0.42109999,0.7949,0.6785,1.7577,1.184,0.35690001,0.1533,0.26660001,0.3671,0.4957,1.36,0.43189999,0.22149999,0.26280001,0.2096,0.2802,0.57669997,0.38499999,0.2978,0.1303,0.70450002,1.4107,0.2518,1.2634,0.28369999,0.2236,0.1336,0.28209999,0.1734,0.26859999,0.27309999,1.8832999,0.14920001,0.31209999,0.25479999
0.41330001,0.23549999,0.2843,1.4513,0.29910001,0.5086,0.92869997,0.79939997,1.998,1.4089,0.3994,0.19419999,0.3378,0.47780001,0.69400001,1.6136,0.52060002,0.2613,0.3558,0.2489,0.32800001,0.67650002,0.46259999,0.3513,0.156,0.80010003,1.6657,0.301,1.5646,0.33309999,0.26409999,0.16320001,0.32460001,0.2007,0.3267,0.32120001,3.3999,0.17290001,0.40220001,0.29969999
0.4411,0.26449999,0.33860001,1.6665,0.3432,0.57929999,1.0541,0.87480003,2.0713999,1.5835,0.4628,0.2295,0.37850001,0.55690002,0.9605,1.7972,0.61629999,0.29949999,0.41749999,0.28839999,0.377,0.75239998,0.54390001,0.39829999,0.18189999,0.92900002,1.9021,0.36840001,1.9095,0.37909999,0.3066,0.18700001,0.37239999,0.2255,0.37239999,0.37180001,4.1915998,0.19670001,0.49470001,0.34380001
0.51539999,0.29589999,0.38249999,1.7923,0.39140001,0.66000003,1.1066,0.96329999,2.1661,1.7361,0.54900002,0.26280001,0.42570001,0.6214,1.0511,2.1617,0.69419998,0.34040001,0.47330001,0.32640001,0.4296,0.83279997,0.60879999,0.45410001,0.207,1.0516,2.2969999,0.41940001,2.1466999,0.4267,0.34619999,0.21510001,0.42770001,0.25650001,0.41639999,0.4197,4.7818999,0.22409999,0.58399999,0.3996
0.55790001,0.33289999,0.41999999,2.4161999,0.4366,0.74370003,1.2559,1.0235,2.2498,1.9055001,0.5984,0.2983,0.426,0.67210001,1.0774,2.3529,0.76020002,0.37729999,0.5377,0.36469999,0.4822,0.93220001,0.67739999,0.50260001,0.2289,1.1585,2.7058001,0.49450001,2.3756001,0.47440001,0.38600001,0.24259999,0.47400001,0.28040001,0.45910001,0.47639999,5.3849001,0.25670001,0.67439997,0.45019999
0.6322,0.35749999,0.4668,3.1951001,0.47749999,0.8107,1.3523999,1.1219,2.3582001,2.2992001,0.65319997,0.3294,0.47679999,0.80040002,1.3083,2.5093,0.86440003,0.4118,0.58819997,0.4064,0.53070003,0.99919999,0.75190002,0.546,0.25760001,1.2503,3.1287,0.54040003,2.9296999,0.53780001,0.4253,0.27129999,0.53310001,0.30180001,0.50819999,0.53560001,5.9649,0.28290001,0.75550002,0.4948
0.65960002,0.39469999,0.49700001,3.5908999,0.5237,0.8847,1.4107,1.2379,2.4728999,2.8016,0.7252,0.36219999,0.52209997,0.8567,1.3219,2.8045001,0.9404,0.44999999,0.63770002,0.4438,0.58020002,1.074,0.83230001,0.58899999,0.28529999,1.3572,3.5332999,0.57569999,3.3584001,0.59960002,0.46689999,0.29809999,0.57789999,0.3188,0.56220001,0.59469998,6.5781002,0.31529999,0.84649998,0.55430001
0.68739998,0.44190001,0.50340003,4.2055998,0.57630002,0.98949999,1.4797,1.3223,2.6372001,3.2955999,0.83209997,0.3964,0.57450002,1.0244,1.349,3.3364,1.0274,0.49259999,0.68629998,0.48109999,0.64310002,1.1418999,0.91549999,0.62889999,0.31029999,1.4443001,3.9640999,0.57599998,3.6303,0.67110002,0.50700003,0.32080001,0.61669999,0.34290001,0.6031,0.64450002,6.9931002,0.34150001,0.94050002,0.60640001
0.7432,0.47420001,0.53920001,5.1764998,0.63450003,1.0791,1.5523,1.3993,2.7651,3.4776001,0.90820003,0.42770001,0.63249999,1.0662,1.3605,3.7275,1.1303,0.53109998,0.73809999,0.53070003,0.69599998,1.2302001,1.0053,0.66960001,0.33539999,1.5353,4.3780999,0.61919999,3.7346001,0.72850001,0.5499,0.3452,0.67360002,0.37020001,0.65539998,0.70209998,7.4067998,0.37380001,1.0345,0.66039997
0.77859998,0.51319999,0.57529998,5.5658002,0.70920002,1.1479,1.6788,1.5319999,2.9598,3.589,0.96139997,0.46169999,0.68409997,1.123,1.4848,3.9849999,1.2118,0.5697,0.79449999,0.5715,0.74919999,1.3116,1.0861,0.71399999,0.3635,1.6392,4.7417998,0.66339999,3.8661001,0.79369998,0.58850002,0.37400001,0.73220003,0.3971,0.70660001,0.76819998,7.8053999,0.403,1.1389,0.70770001
0.80190003,0.55260003,0.60579997,6.1711001,0.7669,1.2237999,1.7746,1.5841,3.082,3.7855,1.0306,0.49810001,0.7299,1.166,1.6799001,4.1684999,1.3066,0.61119998,0.85759997,0.61540002,0.81220001,1.4223,1.1575,0.75830001,0.38890001,1.7410001,5.1496,0.69779998,4.1542001,0.84130001,0.63160002,0.39910001,0.7834,0.42410001,0.76779997,0.8186,8.1976004,0.43220001,1.225,0.75559998
0.87059999,0.59450001,0.6365,6.6062999,0.82279998,1.2974,1.8726,1.6638,3.2590001,4.0864,1.0936,0.54409999,0.76770002,1.2244999,1.8499,4.3762002,1.3901,0.65750003,0.89740002,0.65750003,0.87019998,1.5246,1.2388999,0.81489998,0.4147,1.8403,5.5865998,0.7342,4.2855,0.89700001,0.66979998,0.4321,0.82499999,0.45050001,0.81089997,0.86540002,8.6075001,0.4571,1.3138,0.8118
0.9066,0.63550001,0.67150003,6.7821999,0.87470001,1.3762,1.9416,1.7764,3.4798999,4.1914001,1.1461,0.57539999,0.8107,1.2764,2.3343,4.7262998,1.4561,0.69489998,0.93589997,0.70359999,0.92820001,1.6247,1.3091,0.86199999,0.43830001,1.9604,5.9923,0.76800001,4.4737,0.94770002,0.71060002,0.45469999,0.89399999,0.47119999,0.86129999,0.9192,9.0025997,0.49110001,1.4053,0.86470002
1.1034,0.67989999,0.70660001,7.3555999,0.92290002,1.4534,2.1234,1.8863,3.7019,4.2941999,1.2158,0.61320001,0.83859998,1.3144,2.5091,5.1571002,1.5279,0.73729998,0.98089999,0.75370002,0.97979999,1.6985,1.3775001,0.91159999,0.46329999,2.1545999,6.3931999,0.8211,4.599,0.9989,0.75269997,0.472,0.93629998,0.4939,0.91170001,0.96569997,9.3645,0.52310002,1.4917001,0.9163
1.1447999,0.71810001,0.7432,7.6030002,0.97219998,1.5269001,2.302,2.0536001,3.8705001,4.5049,1.2776999,0.65700001,0.87699997,1.3621,2.9835999,5.3944998,1.6544,0.77710003,1.0306,0.79710001,1.0337,1.777,1.4648,0.9623,0.495,2.3148999,6.7810998,0.85530001,4.9380002,1.0474,0.81889999,0.49860001,1.0002,0.52569997,0.96240002,1.0146,9.7777996,0.5553,1.5753,0.96340001
1.1803,0.75559998,0.78829998,7.7985001,1.0178,1.5917,2.5195999,2.1154001,4.0623999,4.6752,1.3734,0.69199997,0.92150003,1.4302,3.6626,6.1654,1.7327,0.8197,1.082,0.83590001,1.0846,1.8473001,1.539,1.0154999,0.52569997,2.4744999,7.1931,0.89120001,5.1631999,1.1089,0.8567,0.54939997,1.0508,0.55159998,1.013,1.0650001,10.3763,0.60430002,1.6565,1.0075999
1.225,0.79769999,0.82319999,8.1541004,1.079,1.6461,2.6036999,2.1956,4.3446999,4.7834001,1.4159,0.72589999,0.9824,1.5046999,3.7686999,6.3225002,1.8192,0.86129999,1.1292,0.87809998,1.1402,1.9205,1.6122,1.0611,0.55659997,2.5906,7.6065998,0.93150002,5.3592,1.1709,0.89880002,0.5747,1.1021,0.58099997,1.0582,1.1168,11.0056,0.62919998,1.7366,1.0678
1.2565,0.83139998,0.85839999,8.3850002,1.1283,1.7171,2.7616999,2.3053,4.4993,4.9057002,1.4901,0.7554,1.0419,1.5877,3.9335001,6.5500002,1.9086,0.9012,1.1872,0.92309999,1.1931,2.1362,1.6938,1.1129,0.58179998,2.6954999,8.1348,0.96749997,5.5676999,1.2368,0.94340003,0.60049999,1.1518,0.60689998,1.1069,1.179,11.0481,0.66350001,1.8214999,1.1224
1.3474,0.86510003,0.89429998,8.7863998,1.1719,1.778,2.9031,2.4675,4.7835002,5.0053,1.5457,0.78509998,1.1046,1.6424,4.1601,6.7719002,4.1588001,0.93709999,1.2479,0.96509999,1.2508,2.3408999,1.7723,1.1719,0.60390002,2.8022001,8.6946001,1.0089,5.7968001,1.3104,0.98110002,0.6214,1.2388,0.63050002,1.1538,1.2343,11.0492,0.69090003,1.9091001,1.1691999
1.3744,0.92019999,0.9235,8.9899998,1.2309999,1.8369,2.9695001,2.5190001,4.9082999,5.1781998,1.604,0.81519997,1.1665,1.7048,4.1817002,6.9924998,4.1690998,0.97039998,1.2924,1.0063,1.3006999,2.5246,1.8572,1.223,0.6286,2.9138999,9.1757002,1.0563,6.1300001,1.3606,1.0202,0.64429998,1.2847,0.66030002,1.2079,1.2867,11.5912,0.71439999,2.1094999,1.2179
1.5182,0.95249999,0.93769997,9.1887999,1.2776,1.902,3.1568999,2.5817001,5.0591998,5.3018999,1.6863,0.8527,1.2067,1.8012,5.2072001,7.1820998,4.1777,1.0183001,1.3526,1.0487,1.3601,2.7249999,1.9367,1.2747,0.65579998,3.0880001,9.6955004,1.0971,6.4022002,1.4286,1.0625,0.66670001,1.3306,0.68610001,1.2644,1.3437001,11.9881,0.74159998,2.2045,1.2618999
1.556,0.98809999,0.97119999,9.7995996,1.3212,1.9766001,3.5637,2.6612999,5.177,5.4920001,1.7302001,0.88160002,1.2716,1.8697,5.7379999,7.7294002,4.1914001,1.0623,1.414,1.0872999,1.4165,2.7946999,2.0021,1.3253,0.68089998,3.1784999,10.1689,1.1302,6.6753998,1.4851,1.1034,0.68610001,1.4069,0.71689999,1.312,1.3956,12.1868,0.77560002,2.3015001,1.3105
1.6078,1.0113,1.0121,10.1695,1.3664,2.1245,3.7595999,2.7047999,5.3504,5.5973001,1.8033,0.91280001,1.3266,1.9265,5.7613001,7.9631,4.7904,1.1025,1.4766999,1.1408,1.4694,2.8676,2.0839,1.3777,0.70630002,3.3362,10.7273,1.1894,6.8901,1.5376,1.1431,0.7087,1.4516,0.75230002,1.3585,1.4589,12.4138,0.80909997,2.392,1.3609999
1.7456,1.0532,1.0519,10.1721,1.3917,2.1870999,3.9516001,2.7674,5.4640999,5.7042999,1.8645,0.94260001,1.3757,2.1373999,5.9052,8.4069996,4.8053002,1.1494,1.525,1.1733,1.5244,2.9193001,2.1643,1.4373,0.73089999,3.4983001,11.1627,1.2286,7.0950999,1.6005,1.1862,0.72979999,1.4997,0.78600001,1.4075,1.5109,12.6429,0.84399998,2.405,1.4121
