EG20230404a1,EG20230404a2,EG20230404a3,EG20230404a4,EG20230404a5,EG20230404a6,EG20230404a7,EG20230404a8,EG20230410b1,EG20230410b2,EG20230410b3,EG20230410b4,EG20230410c1,EG20230410c2,EG20230410c3,EG20230410c4,EG20230410c5,EG20230410c6,EG20230410c8,EG20230410c9,EG20230410c10,EG20230410c11,EG20230410c12,EG20230410c13
0.00069999998,0.0276,0.048500001,0.052499998,0.0091000004,0.0071999999,0.038899999,0.016799999,0.042300001,0.037599999,0.087399997,0.104,0.0024999999,0.056600001,0.0031999999,0.14659999,0.084299996,0.077299997,0.061999999,0.1689,0.0251,0.0535,0.099200003,0.0015
0.064599998,0.069799997,0.1037,0.1275,0.059300002,0.024499999,0.1211,0.056400001,0.086900003,0.067299999,0.088,0.39969999,0.039000001,0.1258,0.064300001,0.58219999,0.46799999,0.15549999,0.1674,0.7658,0.079599999,0.1146,0.1463,0.027799999
0.1288,0.1101,0.1573,0.2534,0.093199998,0.0429,0.227,0.1097,0.13950001,0.1023,0.36050001,0.72109997,0.074199997,0.17380001,0.1138,0.99440002,1.0568,0.2852,0.27360001,2.0105,0.22139999,0.1894,0.2115,0.046999998
0.1848,0.1559,0.26550001,0.33590001,0.1321,0.061000001,0.27450001,0.1621,0.1997,0.13349999,0.57840002,0.99870002,0.1125,0.2203,0.16760001,1.4189,1.5597,0.4677,0.35069999,2.0855,0.3159,0.2701,0.2809,0.066600002
0.26620001,0.2015,0.32249999,0.41870001,0.19220001,0.0836,0.37729999,0.20209999,0.2289,0.1664,0.71929997,1.2898999,0.1693,0.27720001,0.2457,1.768,2.0788,0.57440001,0.45910001,2.1205001,0.3827,0.35479999,0.3391,0.083800003
0.3369,0.236,0.40529999,0.50160003,0.2256,0.1202,0.4393,0.2315,0.26179999,0.2015,0.89310002,1.5616,0.2177,0.32460001,0.30329999,2.2177,2.7444999,0.75199997,0.51539999,2.2230999,0.4452,0.41769999,0.38440001,0.104
0.3831,0.28569999,0.48190001,0.57230002,0.2599,0.14219999,0.55870003,0.26499999,0.3003,0.2343,1.1216,1.8245,0.25839999,0.37819999,0.35859999,2.8520999,3.4335001,0.83319998,0.62080002,2.3153999,0.5747,0.47299999,0.4605,0.1231
0.46450001,0.33109999,0.55309999,0.6372,0.29969999,0.1654,0.67629999,0.29069999,0.33059999,0.2622,1.3497,2.2281001,0.30129999,0.42899999,0.43470001,3.4677,4.0047998,0.89069998,0.72430003,2.3726001,0.61430001,0.54110003,0.56010002,0.1464
0.52649999,0.3633,0.64170003,0.70190001,0.3599,0.1955,0.7198,0.33739999,0.3671,0.3012,1.5347,3.0402999,0.34819999,0.4833,0.48840001,4.0468001,4.7021999,0.98610002,0.78119999,2.4103999,0.67479998,0.59850001,0.62830001,0.16599999
0.61589998,0.40000001,0.76160002,0.76490003,0.41890001,0.229,0.78130001,0.3705,0.41679999,0.33610001,1.8431,6.7255998,0.40740001,0.53570002,0.54659998,4.5963001,5.1638999,1.0319,1.0257,2.5137,0.72490001,0.65679997,0.72909999,0.1881
