20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.0041999999,0.072899997,0.0074999998,0.1965,0.0080000004,0.0253,0.024,0.003,0.050299998,0.0020000001,0.0077,0.0261,0.025599999,0.0199,0.0146,0.0164,0.0163,0.0207,0.031599998,0.0024000001,0.0038000001,0.0063999998,0.071199998,0.072999999,0.0094999997,0.0155,0.025699999,0.0149,0.0265,0.0082999999,0.099100001,0.037900001,0.032499999,0.041000001,0.0091000004,0.017100001,0.0011,0.02
0.0262,0.17919999,0.064000003,0.5758,0.0524,0.065700002,0.099399999,0.016000001,0.1154,0.1195,0.0241,0.066600002,0.14030001,0.0548,0.066200003,0.039999999,0.065700002,0.045400001,0.084100001,0.019099999,0.0339,0.081200004,0.1573,0.2036,0.0298,0.0605,0.086599998,0.057999998,0.083700001,0.058899999,0.2013,0.1094,0.073399998,0.099600002,0.0305,0.046700001,0.0185,0.1367
0.0524,0.24770001,0.106,0.9623,0.093400002,0.1099,0.2093,0.029200001,0.186,0.21780001,0.063199997,0.1065,0.2332,0.095799997,0.14049999,0.062100001,0.1143,0.070100002,0.1329,0.037099998,0.064400002,0.15350001,0.22480001,0.28439999,0.056699999,0.1073,0.168,0.1099,0.1445,0.1092,0.29769999,0.17200001,0.1214,0.17299999,0.0513,0.081600003,0.039000001,0.25979999
0.076499999,0.30939999,0.1635,1.3053,0.1344,0.1452,0.27469999,0.042100001,0.25080001,0.31369999,0.089199997,0.1442,0.2951,0.1381,0.20020001,0.082000002,0.1617,0.096699998,0.1908,0.056600001,0.088699996,0.2185,0.2933,0.428,0.085299999,0.16150001,0.23280001,0.15809999,0.2036,0.1594,0.39520001,0.23729999,0.16240001,0.2411,0.071199998,0.1085,0.057700001,0.3712
0.096500002,0.38460001,0.20919999,1.6524,0.17550001,0.19050001,0.35319999,0.053399999,0.30579999,0.396,0.1106,0.1789,0.36230001,0.1759,0.25799999,0.1076,0.2198,0.1235,0.2392,0.076899998,0.1168,0.30129999,0.35969999,0.4862,0.1066,0.2271,0.29260001,0.2093,0.2674,0.2138,0.48449999,0.2987,0.20630001,0.29910001,0.090800002,0.1427,0.077100001,0.4923
0.1173,0.45500001,0.26179999,2.1942,0.2225,0.2335,0.41620001,0.065200001,0.3651,0.51980001,0.14139999,0.2209,0.44279999,0.2077,0.31189999,0.1294,0.3901,0.14920001,0.2881,0.094599999,0.1442,0.3845,0.43220001,0.62410003,0.1296,0.2665,0.34279999,0.25999999,0.3258,0.26190001,0.59130001,0.3001,0.2392,0.36520001,0.1115,0.178,0.096199997,0.61619997
0.1446,0.57270002,0.29929999,2.7929001,0.26730001,0.2771,0.47060001,0.079099998,0.4269,0.66360003,0.17550001,0.26980001,0.53250003,0.2475,0.37630001,0.1525,0.53839999,0.17900001,0.3414,0.1128,0.17030001,0.45719999,0.47729999,0.72680002,0.1517,0.32600001,0.39320001,0.31400001,0.38589999,0.3134,0.70349997,0.3348,0.27630001,0.41960001,0.1312,0.2084,0.1164,0.74860001
0.16410001,0.64029998,0.34200001,3.3309,0.30559999,0.3247,0.54759997,0.091799997,0.46880001,0.80360001,0.2057,0.30500001,0.6067,0.27430001,0.44479999,0.17389999,0.54229999,0.20630001,0.3917,0.13240001,0.19679999,0.53490001,0.54809999,0.79650003,0.17649999,0.37110001,0.45770001,0.36469999,0.44530001,0.3723,0.79570001,0.3696,0.32659999,0.50870001,0.1521,0.2412,0.13600001,0.87459999
0.18709999,0.6983,0.38949999,3.9309001,0.34549999,0.3545,0.61750001,0.1043,0.53579998,0.92519999,0.2362,0.3565,0.68870002,0.30360001,0.54689997,0.1962,0.58639997,0.2316,0.43869999,0.14920001,0.22390001,0.62309998,0.6293,0.92009997,0.19939999,0.41190001,0.52899998,0.41580001,0.50379997,0.42070001,0.88840002,0.4068,0.37490001,0.56760001,0.1727,0.2701,0.15459999,1.0259
0.20819999,0.75690001,0.42550001,4.506,0.38150001,0.39879999,0.69410002,0.1176,0.59109998,1.008,0.28470001,0.4064,0.80190003,0.3389,0.62900001,0.21780001,0.63120002,0.25729999,0.48339999,0.16680001,0.2516,0.72729999,0.71969998,1.0211999,0.2243,0.4472,0.61570001,0.46430001,0.56309998,0.47350001,0.9874,0.43720001,0.42480001,0.61089998,0.1936,0.30239999,0.1736,1.1251
0.23190001,0.84670001,0.465,5.0837002,0.41960001,0.4373,0.77890003,0.1311,0.6469,1.1208,0.32269999,0.45879999,0.90009999,0.37329999,0.6904,0.2414,0.68669999,0.287,0.52929997,0.18619999,0.2755,0.80070001,0.79729998,1.1106,0.2498,0.50169998,0.6749,0.5115,0.62529999,0.53039998,1.0924,0.50980002,0.4756,0.67470002,0.214,0.33520001,0.1919,1.2826
0.25639999,0.96020001,0.50999999,5.7068,0.4542,0.4628,0.85530001,0.1445,0.69749999,1.541,0.35170001,0.50809997,0.97469997,0.3976,0.7748,0.26429999,0.74110001,0.31600001,0.5794,0.2069,0.2999,0.87840003,0.85879999,1.1992,0.27160001,0.54189998,0.74800003,0.56040001,0.6864,0.58459997,1.2058001,0.57620001,0.50400001,0.7277,0.2339,0.36219999,0.2128,1.4445
0.27810001,1.0552,0.5661,6.2294998,0.48890001,0.50300002,0.9296,0.1566,0.75410002,1.6808,0.37830001,0.54659998,1.0771,0.43689999,0.83710003,0.28549999,0.7924,0.34150001,0.62400001,0.2253,0.32679999,0.9666,0.92309999,1.2781,0.29789999,0.58279997,0.81440002,0.61129999,0.74870002,0.64270002,1.3048,0.64139998,0.55879998,0.78109998,0.25350001,0.3964,0.23019999,1.5949
0.30320001,1.1217,0.61400002,6.7698998,0.52490002,0.54149997,0.9971,0.16940001,0.80849999,1.7723,0.40040001,0.58579999,1.1667,0.4648,0.89840001,0.30700001,0.84039998,0.37020001,0.66979998,0.2429,0.3563,1.051,0.98869997,1.3456,0.31740001,0.61900002,0.87809998,0.66210002,0.81239998,0.70850003,1.4098001,0.7044,0.60509998,0.82819998,0.273,0.4271,0.2493,1.7886
0.32609999,1.207,0.66350001,7.3347001,0.56339997,0.57870001,1.0700999,0.18260001,0.87589997,1.8989,0.43920001,0.62230003,1.3044,0.4894,0.97750002,0.32859999,0.89700001,0.39320001,0.71609998,0.26269999,0.38319999,1.1256,1.0613,1.4131,0.33970001,0.66030002,0.93440002,0.70630002,0.8725,0.76429999,1.5201,0.77319998,0.65820003,0.88929999,0.29519999,0.463,0.2696,1.9584
0.3457,1.2763,0.7087,7.7052002,0.59960002,0.63010001,1.1305,0.1955,0.93159997,2.9045999,0.4686,0.66420001,1.4079,0.52219999,1.0475,0.34940001,0.99860001,0.41850001,0.76749998,0.28,0.4102,1.2180001,1.1324,1.5068001,0.37059999,0.70749998,1.0001,0.75770003,0.9325,0.80970001,1.6188999,0.8452,0.70249999,0.94809997,0.31819999,0.4989,0.28999999,2.1252
0.36930001,1.3512,0.76209998,8.1815004,0.63690001,0.66960001,1.1898,0.2078,0.98809999,3.1997001,0.49180001,0.708,1.4816,0.56080002,1.131,0.37259999,1.0475,0.44800001,0.80400002,0.29710001,0.4375,1.2970001,1.1774,1.5930001,0.39140001,0.73549998,1.0594,0.8143,0.99349999,0.8603,1.7219,0.90930003,0.74879998,1.0164,0.3396,0.52649999,0.30950001,2.2255001
0.39019999,1.4287,0.8071,8.6949997,0.67519999,0.7087,1.2759,0.22,1.0628999,3.4219999,0.5223,0.74910003,1.5482,0.59359998,1.1953,0.39489999,1.0951,0.47189999,0.84680003,0.3143,0.4666,1.3911999,1.2035,1.6939,0.41139999,0.7737,1.126,0.85979998,1.0528001,0.91769999,1.8278,0.98119998,0.78869998,1.0779001,0.35969999,0.5618,0.32890001,2.3303001
0.4149,1.5168999,0.84369999,9.1459999,0.7155,0.75300002,1.3479,0.2323,1.1108,3.7053001,0.5575,0.7906,1.6176,0.63249999,1.2433,0.4165,1.1469001,0.5007,0.88630003,0.33239999,0.4928,1.467,1.3017,1.7625,0.43259999,0.81480002,1.1849,0.91170001,1.112,0.96859998,1.921,1.0405999,0.83700001,1.1277,0.3788,0.6013,0.34819999,2.4951999
0.44069999,1.5896,0.87529999,9.6036997,0.755,0.79890001,1.4184,0.2429,1.1729,3.9042001,0.58590001,0.83130002,1.7167,0.6627,1.3088,0.4359,1.1964999,0.52740002,0.93790001,0.3493,0.52429998,1.5567,1.3706,1.8219,0.45559999,0.86470002,1.2313,0.96270001,1.1727999,1.0168,2.2756,1.1014,0.87870002,1.1813999,0.39989999,0.63679999,0.36919999,2.6536
0.45899999,1.6514,0.9066,10.0235,0.7938,0.84789997,1.5765001,0.2552,1.2207,4.1588998,0.61849999,0.86360002,1.7722,0.6972,1.3526,0.45750001,1.2478,0.55199999,0.99080002,0.36480001,0.55369997,1.6325001,1.4630001,1.8637,0.4761,0.90030003,1.2868,1.0129,1.2335,1.0676,2.4863999,1.1727999,0.92470002,1.2336,0.42250001,0.66689998,0.38789999,2.7876999
0.4797,1.7063,0.94080001,10.5337,0.83960003,0.88919997,1.6664,0.2683,1.2746,4.3990998,0.65030003,0.91180003,1.8509001,0.7238,1.4074,0.4772,1.2907,0.57770002,1.0407,0.38389999,0.58090001,1.7096,1.5348001,1.9464,0.50190002,0.94690001,1.3549,1.0618,1.2922,1.1231,2.6838,1.2354,0.97109997,1.3062,0.44490001,0.70310003,0.4075,2.9777
0.5122,1.7510999,0.97640002,10.9563,0.88340002,0.91850001,1.7182,0.28130001,1.3318,4.6349001,0.69129997,0.9447,1.9687999,0.75550002,1.4924999,0.4993,1.3392,0.60219997,1.0883,0.40020001,0.61360002,1.7999001,1.6562999,2.175,0.52810001,1.0015,1.4094,1.1104,1.3526,1.1812,2.7925999,1.3018,1.0135,1.368,0.4659,0.73650002,0.42680001,3.0961001
0.53179997,1.8169,1.0118999,11.4612,0.92220002,0.95969999,1.7948999,0.29350001,1.3828,4.7620001,0.73290002,0.97860003,2.0460999,0.79159999,1.5707999,0.52170002,1.3994,0.62739998,1.1319,0.41859999,0.64039999,1.8825001,1.7206,2.3025999,0.54659998,1.0432,1.475,1.1589,1.4129,1.2341,2.9690001,1.3698,1.0538,1.429,0.48550001,0.7676,0.44569999,3.2425001
0.55220002,1.8608,1.048,11.9291,0.96200001,1.0093,1.8702,0.3048,1.4220001,4.9018002,0.76059997,1.0233001,2.1364,0.82440001,1.6854,0.54259998,1.4548,0.65350002,1.1777,0.4373,0.66829997,1.9615999,1.7968,2.4956,0.57029998,1.0963,1.5372,1.209,1.4725,1.2833,3.2693999,1.3859,1.0949,1.484,0.50629997,0.8035,0.4657,3.3824
0.5729,1.9225,1.0882,12.2971,1.001,1.0552,1.9387,0.31650001,1.4814,5.0681,0.8154,1.0681,2.3320999,0.86699998,1.7388999,0.56370002,1.5045,0.6825,1.2283,0.45519999,0.69330001,2.0718999,1.8766,2.6020999,0.59609997,1.1303,1.6088001,1.2578,1.5351,1.3422,3.4728999,1.4332,1.1404001,1.5463001,0.52890003,0.83289999,0.48550001,3.5421
0.60049999,1.9865,1.1409,12.5474,1.0404,1.0982,2.0843999,0.3285,1.5397,5.3884001,0.83160001,1.1102,2.4660001,0.90380001,1.8198,0.58579999,1.5509,0.71329999,1.2786,0.4736,0.71890002,2.1626999,1.9433,2.6866,0.61699998,1.1797,1.6635,1.3122,1.5991,1.4001,3.5917001,1.4976,1.1895,1.6118,0.54790002,0.87279999,0.50370002,3.655
0.61769998,2.0616,1.1943001,12.8813,1.0818,1.1529,2.1649001,0.34040001,1.6002001,5.5932002,0.90429997,1.1394,2.5903001,0.94529998,1.8738,0.60689998,1.5937001,0.73769999,1.3243001,0.4912,0.74379998,2.2535999,2.0058,2.7783,0.6372,1.2244999,1.7366,1.3638,1.6597,1.4409,3.7757001,1.5623,1.2359999,1.6708,0.56800002,0.90600002,0.52170002,3.8318999
0.64310002,2.1482999,1.2409,13.1396,1.1223,1.197,2.2597001,0.35280001,1.6548001,5.7512002,0.93919998,1.1748,2.7463,0.97719997,1.9248,0.62639999,1.6950001,0.76730001,1.3683,0.50919998,0.76899999,2.3405001,2.0281999,2.8652,0.66329998,1.2804,1.8035001,1.4163001,1.7182,1.4941,3.8989999,1.6174001,1.285,1.7306,0.58810002,0.93940002,0.54170001,3.9863
0.6663,2.2072001,1.2757,13.4728,1.1645,1.2387,2.3511,0.36489999,1.7292,5.8773999,0.96569997,1.2085,2.9195001,1.0171,1.9823999,0.64609998,1.7357,0.79729998,1.4162,0.528,0.79579997,2.4345,2.0713999,2.9719,0.69709998,1.3252,1.8848,1.4693,1.7814,1.5567,4.0606999,1.6774,1.3301001,1.7883,0.60860002,0.97210002,0.5607,4.138
0.69010001,2.2945001,1.3135999,13.7254,1.204,1.2818,2.4530001,0.37709999,1.7921,6.0556002,0.99370003,1.2728,3.0195,1.0544,2.1579001,0.66939998,1.7951,0.82380003,1.4651,0.54640001,0.82069999,2.5016,2.1066999,3.0869,0.72259998,1.3756,1.9519,1.5154001,1.848,1.5982,4.1830001,1.7371,1.3741,1.8493,0.62800002,1.0005,0.58109999,4.2754002
0.71259999,2.4184,1.3508,14.0549,1.2478,1.3329,2.5388,0.3899,1.8530999,6.1831999,1.01,1.3056999,3.0987,1.09,2.2825999,0.69080001,1.8486,0.8466,1.5064,0.56480002,0.84509999,2.5910001,2.2061999,3.1619,0.75059998,1.4273,2.016,1.5634,1.9044,1.6533999,4.2995,1.8037,1.4177999,1.9198999,0.64789999,1.0296,0.59960002,4.3813
0.73320001,2.5223,1.3805,14.342,1.2874,1.3727,2.592,0.40290001,1.9206001,6.2933002,1.0427001,1.3464,3.1977,1.1398,2.3750999,0.7112,1.8986,0.86989999,1.5562,0.58289999,0.87220001,2.6561,2.2702999,3.2049,0.77920002,1.4806,2.0848999,1.6154,1.9638,1.6986001,4.4671998,1.8723,1.4612,1.9741,0.66820002,1.0632,0.61949998,4.5099001
0.75690001,2.635,1.4165,14.712,1.3250999,1.4115,2.6726999,0.41530001,1.9654,6.5780001,1.0824,1.3793,3.2895999,1.1689,2.4662001,0.73360002,1.9392,0.89679998,1.602,0.60140002,0.89840001,2.7355001,2.3067,3.2893,0.80290002,1.5239,2.1665001,1.6672,2.0388,1.7477,4.5992999,1.947,1.4981,2.0994,0.68849999,1.1005,0.63789999,4.6476002
