20220818a,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191217b,20191217c,20191217e,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.0132,0.0088999998,0.085299999,0.025,0.0117,0.041299999,0.0068999999,0.0188,0.091899998,0.0077,0.029300001,0.15019999,0.0089999996,0.0209,1.00E-04,0.023700001,0.0023000001,0.0416,0.0051000002,0.022399999,0.046999998,0.024,0.046100002,0.0176,0.0288,0.0306,0.0066,0.0102,0.091700003,0.0381,0.016000001,0.0012000001,0.0127,0.0197,0.078500003
0.045899998,0.046300001,0.31110001,0.0601,0.050900001,0.1105,0.0184,0.0616,0.1926,0.0241,0.071800001,0.33289999,0.053800002,0.068400003,0.0229,0.070200004,0.0252,0.0911,0.0233,0.051899999,0.1639,0.093199998,0.082800001,0.043900002,0.075800002,0.1165,0.068000004,0.063100003,0.3132,0.083499998,0.072300002,0.024700001,0.046,0.0436,0.1823
0.077299997,0.089100003,0.57880002,0.1081,0.095700003,0.18260001,0.0297,0.123,0.2701,0.063199997,0.1085,0.55900002,0.1013,0.1089,0.045499999,0.1068,0.046500001,0.1322,0.040199999,0.080399998,0.2911,0.1464,0.1233,0.066,0.1203,0.1954,0.13420001,0.1205,0.58139998,0.13609999,0.1322,0.047800001,0.079999998,0.068700001,0.2834
0.1089,0.12819999,0.88739997,0.15090001,0.13240001,0.24339999,0.0407,0.1816,0.338,0.089199997,0.1551,0.7608,0.1406,0.1566,0.069899999,0.1534,0.0713,0.1811,0.057599999,0.1049,0.4339,0.20630001,0.1617,0.085699998,0.1767,0.2782,0.20370001,0.1778,0.90719998,0.1839,0.1894,0.070699997,0.117,0.0942,0.40650001
0.13590001,0.1733,1.1831,0.1875,0.1883,0.30149999,0.051399998,0.24439999,0.49990001,0.1106,0.1925,0.82539999,0.19,0.2198,0.093000002,0.1882,0.093699999,0.2316,0.075900003,0.1321,0.56309998,0.2807,0.199,0.1113,0.21789999,0.368,0.26730001,0.2315,1.165,0.2296,0.24089999,0.094099998,0.15009999,0.1219,0.53130001
0.16680001,0.22220001,1.4261,0.21950001,0.25130001,0.35429999,0.064400002,0.31,0.74080002,0.14139999,0.22669999,0.93080002,0.23639999,0.25740001,0.1161,0.22239999,0.1175,0.29609999,0.093199998,0.15790001,0.67390001,0.34810001,0.2334,0.1357,0.27180001,0.43790001,0.3281,0.28369999,1.442,0.27360001,0.30149999,0.1153,0.185,0.14830001,0.64719999
0.1997,0.26210001,1.6884,0.25580001,0.2999,0.43619999,0.082999997,0.3777,0.83990002,0.17550001,0.27410001,1.0173,0.27669999,0.3073,0.1397,0.25839999,0.14229999,0.34450001,0.1114,0.1855,0.79339999,0.39559999,0.2701,0.1701,0.34290001,0.51679999,0.39410001,0.35049999,1.6695,0.32190001,0.36930001,0.1411,0.2228,0.17399999,0.75169998
0.23,0.30779999,1.9835,0.2906,0.354,0.49759999,0.094800003,0.4425,0.94029999,0.2057,0.3136,1.2082,0.32550001,0.35800001,0.1635,0.29539999,0.169,0.40059999,0.12989999,0.2122,0.90689999,0.46000001,0.30989999,0.20020001,0.3802,0.58990002,0.45680001,0.412,1.9608001,0.36669999,0.43079999,0.163,0.2529,0.1996,0.86320001
0.26050001,0.3513,2.3399999,0.32460001,0.40220001,0.5783,0.1062,0.4975,1.0221,0.2362,0.36039999,1.313,0.37290001,0.39230001,0.1882,0.33750001,0.19760001,0.4562,0.1477,0.2383,1.0398999,0.52029997,0.3748,0.2263,0.4136,0.66750002,0.52270001,0.47400001,2.5948,0.4091,0.48769999,0.1881,0.28909999,0.22409999,0.96600002
0.2895,0.39160001,2.6565001,0.3804,0.46540001,0.6832,0.1182,0.55650002,1.1319,0.28470001,0.3892,1.4553,0.41229999,0.42879999,0.2112,0.37619999,0.2229,0.50269997,0.1656,0.2649,1.1755,0.59469998,0.41949999,0.2427,0.48820001,0.74470001,0.5927,0.5334,2.9828,0.4544,0.54970002,0.2146,0.32339999,0.2474,1.0616
0.32409999,0.42910001,2.9526999,0.41460001,0.51270002,0.75410002,0.1302,0.63029999,1.277,0.32269999,0.42750001,1.5700999,0.4576,0.46740001,0.2333,0.41429999,0.2493,0.5517,0.183,0.29350001,1.2733001,0.6627,0.46470001,0.26519999,0.5381,0.82429999,0.6584,0.59719998,3.3706999,0.49610001,0.61669999,0.2368,0.35710001,0.27289999,1.1846
0.34959999,0.47850001,3.3282001,0.4576,0.56770003,0.82080001,0.141,0.70700002,1.4208,0.35170001,0.46239999,1.6874,0.51359999,0.49869999,0.2561,0.45190001,0.27419999,0.59670001,0.1992,0.3229,1.3712,0.71789998,0.51179999,0.28650001,0.58840001,0.90249997,0.7245,0.64450002,3.5534,0.53969997,0.6807,0.25979999,0.38640001,0.29710001,1.3401
0.38769999,0.52630001,3.6709001,0.5108,0.62159997,0.8998,0.152,0.80549997,1.5548,0.37830001,0.50449997,1.7929,0.55729997,0.53960001,0.2784,0.48969999,0.30129999,0.64060003,0.21780001,0.34799999,1.4834,0.79009998,0.55680001,0.3109,0.6322,0.9795,0.78710002,0.70349997,3.7748001,0.58569998,0.75709999,0.2827,0.41659999,0.32350001,1.563
0.4163,0.57810003,3.9972999,0.55909997,0.66350001,0.99089998,0.1631,0.8757,1.6624,0.40040001,0.54089999,1.9119,0.59469998,0.5711,0.3003,0.52450001,0.3249,0.68589997,0.2348,0.37349999,1.5797,0.86519998,0.60579997,0.345,0.67030001,1.0574,0.85110003,0.76109999,4.1708002,0.63010001,0.81230003,0.30500001,0.44819999,0.3475,1.6659
0.4506,0.64270002,4.3217001,0.60900003,0.71350002,1.0585001,0.1744,0.91939998,1.7738,0.43920001,0.57260001,2.0323999,0.63990003,0.61440003,0.32949999,0.55739999,0.34729999,0.7295,0.25139999,0.3994,1.699,0.935,0.64389998,0.3698,0.71219999,1.1375999,0.9224,0.81459999,4.5242,0.6832,0.8642,0.32620001,0.48500001,0.37220001,1.7786
0.4788,0.68949997,4.6388998,0.66570002,0.76209998,1.1471,0.18619999,0.99059999,1.8502001,0.4686,0.6056,2.1104,0.68120003,0.65899998,0.35409999,0.5916,0.3721,0.77359998,0.27070001,0.42480001,1.8335,0.98790002,0.68199998,0.38949999,0.74779999,1.2165999,0.98320001,0.87440002,5.1921,0.72890002,0.9267,0.34760001,0.51950002,0.39719999,1.923
0.50599998,0.73559999,4.9987998,0.71689999,0.80949998,1.2194999,0.1978,1.0765001,1.9809,0.49180001,0.64050001,2.2347,0.7331,0.70649999,0.3759,0.62510002,0.39719999,0.82669997,0.2897,0.4522,1.9589,0.99379998,0.76740003,0.4127,0.79869998,1.3061,1.0455,0.92799997,5.5913,0.77219999,0.98869997,0.36899999,0.5517,0.41980001,2.0603001
0.53390002,0.79170001,5.3297,0.76889998,0.85890001,1.2893,0.2097,1.1421,2.7593,0.5223,0.67110002,2.3515,0.77770001,0.74529999,0.40130001,0.65700001,0.42050001,0.86339998,0.30700001,0.47940001,2.0841,1.0603,0.80010003,0.43889999,0.8488,1.3871,1.1089,0.98509997,6.1975002,0.81440002,1.0477999,0.39300001,0.583,0.4452,2.1447999
0.56010002,0.86320001,5.6560998,0.83149999,0.91030002,1.3629,0.22059999,1.1985,3.0857,0.5575,0.7101,2.5532,0.8222,0.78500003,0.42309999,0.69019997,0.44310001,0.91619998,0.3247,0.50489998,2.1895001,1.1242,0.84109998,0.46380001,0.89289999,1.4678,1.1761,1.0441,6.5886002,0.86229998,1.1137,0.41679999,0.61290002,0.46919999,2.2614
0.58850002,0.91159999,5.9742999,0.88739997,0.95240003,1.4484,0.23450001,1.2637,3.3201001,0.58590001,0.74599999,2.7434001,0.86769998,0.83139998,0.44530001,0.72399998,0.46759999,0.96530002,0.34150001,0.53200001,2.3001001,1.1323,0.89859998,0.486,0.93629998,1.5426,1.2564,1.1005,7.3527002,0.91399997,1.1658,0.44010001,0.64639997,0.49309999,2.3492999
0.62120003,0.9623,6.3011999,0.93150002,1.0082,1.5292,0.24789999,1.3261,3.3940001,0.61849999,0.7766,2.9489999,0.90810001,0.87029999,0.46919999,0.7665,0.49529999,1.0136,0.359,0.55980003,2.4604001,1.199,0.96030003,0.51700002,0.96780002,1.6147,1.3202,1.1559,8.1844997,0.96539998,1.2187999,0.46039999,0.67930001,0.51810002,2.4270999
