20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206a,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.0034,0.0149,0.0123,0.25369999,0.0144,0.0065000001,0.0295,0.0092000002,0.0217,0.057300001,0.021600001,0.022500001,0.1587,0.038199998,0.0254,0.0147,0.0023000001,0.0023000001,0.0208,0.0073000002,0.020300001,0.0244,0.0222,0.033599999,0.021,0.0068000001,0.039099999,0.0568,0.056899998,0.0051000002,0.0020999999,0.0605,0.0726,0.0076000001,0.0266,0.0049999999,0.022700001,0.0029,0.084100001
0.0239,0.041099999,0.085900001,0.55250001,0.050099999,0.0403,0.086400002,0.024800001,0.056200001,0.1295,0.040399998,0.054900002,0.35870001,0.078100003,0.061999999,0.057100002,0.0251,0.054400001,0.048700001,0.046700001,0.045699999,0.0515,0.1513,0.1124,0.0647,0.035399999,0.071800001,0.1322,0.1425,0.077299997,0.055500001,0.1534,0.17,0.0425,0.085699998,0.0241,0.048700001,0.0243,0.257
0.0396,0.064099997,0.15360001,0.88510001,0.085199997,0.071400002,0.14300001,0.038199998,0.084399998,0.23360001,0.062399998,0.097800002,0.5571,0.1201,0.106,0.1152,0.047200002,0.1004,0.075499997,0.090700001,0.066399999,0.077200003,0.25150001,0.1788,0.094499998,0.057,0.1098,0.19930001,0.2288,0.1594,0.1053,0.2374,0.26390001,0.076399997,0.1446,0.042100001,0.075400002,0.045899998,0.37650001
0.0594,0.090599999,0.2172,1.1516,0.1213,0.092900001,0.2094,0.0513,0.1198,0.31889999,0.086000003,0.1355,0.78789997,0.1716,0.1397,0.1631,0.0691,0.1471,0.1086,0.1312,0.084799998,0.1038,0.40020001,0.2361,0.163,0.080399998,0.1505,0.25999999,0.30829999,0.23280001,0.1463,0.3344,0.3529,0.1081,0.19499999,0.062799998,0.096900001,0.067000002,0.48809999
0.075000003,0.116,0.28439999,1.4208,0.1564,0.1265,0.2823,0.064199999,0.1507,0.41859999,0.1011,0.16949999,1.0148,0.215,0.1777,0.226,0.089299999,0.18979999,0.14229999,0.1793,0.1052,0.12819999,0.52179998,0.31420001,0.20739999,0.1012,0.19509999,0.3267,0.38839999,0.3046,0.1971,0.41859999,0.4456,0.1402,0.243,0.082199998,0.1195,0.088200003,0.59009999
0.091799997,0.1425,0.33559999,1.7114,0.1913,0.1621,0.347,0.077600002,0.1811,0.5029,0.1301,0.192,1.2923,0.26230001,0.2418,0.28690001,0.1128,0.2325,0.1732,0.2265,0.12530001,0.1516,0.64420003,0.3743,0.2429,0.1279,0.24590001,0.38249999,0.4614,0.37979999,0.2464,0.498,0.54909998,0.1715,0.2931,0.1024,0.1442,0.1082,0.70139998
0.1205,0.1682,0.39539999,1.9706,0.2277,0.20280001,0.4077,0.092299998,0.21690001,0.59990001,0.1494,0.22409999,1.5757,0.3066,0.27919999,0.34079999,0.1344,0.2721,0.2071,0.27239999,0.14470001,0.17990001,0.74290001,0.43669999,0.28279999,0.1552,0.27509999,0.4395,0.5352,0.45860001,0.29840001,0.57990003,0.64929998,0.20299999,0.35620001,0.1216,0.16850001,0.1296,0.85299999
0.1344,0.1909,0.4619,2.4349,0.2669,0.2352,0.46950001,0.1065,0.255,0.69389999,0.16869999,0.26640001,1.8903,0.34850001,0.3098,0.38530001,0.1558,0.31299999,0.2376,0.3143,0.1653,0.2016,0.74980003,0.4946,0.3202,0.1795,0.3188,0.50349998,0.6081,0.5323,0.34940001,0.65600002,0.76310003,0.2339,0.41080001,0.14049999,0.19320001,0.1505,0.9465
0.1549,0.21439999,0.53140002,2.8217001,0.3026,0.2714,0.54640001,0.1257,0.28729999,0.75910002,0.19660001,0.3109,2.6802001,0.39410001,0.34639999,0.4544,0.178,0.3554,0.2678,0.3594,0.18889999,0.2274,0.87540001,0.55309999,0.35030001,0.2044,0.35100001,0.5492,0.6965,0.60820001,0.3964,0.73320001,0.85780001,0.26789999,0.46059999,0.1582,0.22130001,0.1725,1.1106
0.17110001,0.2384,0.61989999,3.2543001,0.34079999,0.3123,0.60979998,0.1436,0.35690001,0.84149998,0.21789999,0.34740001,2.9521,0.4339,0.38929999,0.51480001,0.1999,0.403,0.3001,0.40740001,0.20919999,0.255,1.0221,0.56709999,0.39579999,0.23199999,0.38679999,0.61549997,0.7723,0.68989998,0.4461,0.82499999,0.89429998,0.29890001,0.52329999,0.17730001,0.2481,0.1929,1.2667
0.1957,0.26359999,0.67970002,3.6738,0.38209999,0.35600001,0.67400002,0.1613,0.398,0.91240001,0.2351,0.3876,3.4842,0.47920001,0.44620001,0.5697,0.2203,0.45030001,0.3326,0.45590001,0.2309,0.278,1.2043,0.6189,0.43009999,0.25510001,0.4215,0.67510003,0.85180002,0.76910001,0.4975,0.91079998,0.95789999,0.33309999,0.588,0.1979,0.27219999,0.2141,1.4263999
0.2183,0.2868,0.73159999,4.0897002,0.4235,0.3892,0.76569998,0.1779,0.43279999,0.99070001,0.26620001,0.42640001,4.2529001,0.52060002,0.4788,0.62120003,0.24339999,0.49540001,0.3608,0.50029999,0.2527,0.29980001,1.3262,0.71569997,0.47119999,0.27540001,0.46360001,0.74730003,0.9339,0.83920002,0.54079998,0.99519998,0.97549999,0.36559999,0.64480001,0.2174,0.29890001,0.2367,1.5417
0.2295,0.31200001,0.7845,4.5186,0.46419999,0.4219,0.81550002,0.19310001,0.47240001,1.0817,0.3046,0.46000001,4.5051999,0.5596,0.51279998,0.65670002,0.266,0.53600001,0.3897,0.5467,0.27500001,0.3301,1.4567,0.78289998,0.50940001,0.3028,0.5115,0.81580001,1.0137,0.90750003,0.58520001,1.0764,1.0533,0.40020001,0.69929999,0.2358,0.32659999,0.25709999,1.6707
